Date,WY
2012-02-01,12.237524032592773
2012-03-01,12.840904235839844
2012-04-01,11.927045822143555
2012-05-01,11.752150535583496
2012-06-01,13.198296546936035
2012-07-01,13.7826566696167
2012-08-01,14.793676376342773
2012-09-01,15.524150848388672
2012-10-01,16.44467544555664
2012-11-01,16.46965217590332
2012-12-01,16.625024795532227
2013-01-01,17.999494552612305
2013-02-01,17.67758560180664
2013-03-01,18.861705780029297
2013-04-01,18.33877182006836
2013-05-01,18.038999557495117
2013-06-01,17.234451293945312
2013-07-01,17.179996490478516
2013-08-01,16.697383880615234
2013-09-01,17.459680557250977
2013-10-01,18.68410301208496
2013-11-01,18.5059814453125
2013-12-01,19.39044189453125
2014-01-01,18.35242462158203
2014-02-01,18.25943946838379
2014-03-01,18.16044044494629
2014-04-01,18.46981430053711
2014-05-01,19.583635330200195
2014-06-01,20.624526977539062
2014-07-01,19.521303176879883
2014-08-01,21.341094970703125
2014-09-01,20.027313232421875
2014-10-01,21.466922760009766
2014-11-01,22.386211395263672
2014-12-01,22.753923416137695
2015-01-01,22.728561401367188
2015-02-01,22.44464111328125
2015-03-01,21.191680908203125
2015-04-01,20.143278121948242
2015-05-01,20.814510345458984
2015-06-01,20.318635940551758
2015-07-01,19.796161651611328
2015-08-01,18.022314071655273
2015-09-01,17.83525276184082
2015-10-01,19.339948654174805
2015-11-01,21.21261978149414
2015-12-01,19.7685546875
2016-01-01,16.887014389038086
2016-02-01,17.130992889404297
2016-03-01,20.66292381286621
2016-04-01,21.42327117919922
2016-05-01,21.009746551513672
2016-06-01,20.055208206176758
2016-07-01,22.042543411254883
2016-08-01,21.456445693969727
2016-09-01,21.726442337036133
2016-10-01,20.563833236694336
2016-11-01,21.182191848754883
2016-12-01,20.673763275146484
2017-01-01,21.52572250366211
2017-02-01,23.167800903320312
2017-03-01,23.56307029724121
2017-04-01,23.486787796020508
2017-05-01,22.85576057434082
2017-06-01,23.447784423828125
2017-07-01,23.1118106842041
2017-08-01,22.82484245300293
2017-09-01,24.043041229248047
2017-10-01,25.371309280395508
2017-11-01,25.225065231323242
2017-12-01,25.13950538635254
2018-01-01,26.76508903503418
2018-02-01,24.97551727294922
2018-03-01,25.18419075012207
2018-04-01,26.46499252319336
2018-05-01,26.86073875427246
2018-06-01,26.455482482910156
2018-07-01,24.801105499267578
2018-08-01,25.185672760009766
2018-09-01,23.64832878112793
2018-10-01,19.51518440246582
2018-11-01,19.60125160217285
2018-12-01,16.224285125732422
2019-01-01,19.475080490112305
2019-02-01,18.719327926635742
2019-03-01,19.80985450744629
2019-04-01,20.155813217163086
2019-05-01,17.147478103637695
2019-06-01,20.10269546508789
2019-07-01,19.392919540405273
2019-08-01,20.079797744750977
2019-09-01,21.41415786743164
2019-10-01,22.581497192382812
2019-11-01,22.81342315673828
2019-12-01,23.61812973022461
2020-01-01,22.640560150146484
2020-02-01,20.317848205566406
2020-03-01,13.416777610778809
2020-04-01,17.311208724975586
2020-05-01,15.981402397155762
2020-06-01,17.77821922302246
2020-07-01,22.013015747070312
2020-08-01,23.99188995361328
2020-09-01,22.57501792907715
2020-10-01,21.601409912109375
2020-11-01,22.986621856689453
2020-12-01,26.69778060913086
2021-01-01,24.834592819213867
2021-02-01,26.968496322631836
2021-03-01,28.490436553955078
2021-04-01,31.027366638183594
2021-05-01,30.37912368774414
2021-06-01,27.670673370361328
2021-07-01,27.115970611572266
2021-08-01,28.940855026245117
2021-09-01,28.729646682739258
2021-10-01,29.25979232788086
2021-11-01,30.80797004699707
2021-12-01,33.88535690307617
2022-01-01,33.268211364746094
2022-02-01,33.1407585144043
2022-03-01,32.453338623046875
2022-04-01,35.29621887207031
2022-05-01,33.840538024902344
2022-06-01,28.49277114868164
2022-07-01,31.245695114135742
2022-08-01,29.38747215270996
2022-09-01,24.70000648498535
2022-10-01,26.74969482421875
2022-11-01,28.289119720458984
2022-12-01,26.958581924438477
2023-01-01,29.941423416137695
2023-02-01,27.910480499267578
2023-03-01,27.072528839111328
2023-04-01,26.87485122680664
2023-05-01,25.7517032623291
2023-06-01,30.31048583984375
2023-07-01,30.8079776763916
2023-08-01,29.794071197509766
2023-09-01,27.892711639404297
2023-10-01,26.10051727294922
2023-11-01,28.69240379333496
2023-12-01,31.82248878479004
2024-01-01,29.992034912109375
2024-02-01,31.599485397338867
2024-03-01,33.19786071777344
2024-04-01,27.891380310058594
2024-05-01,27.95004653930664
2024-06-01,26.423633575439453
2024-07-01,29.560218811035156
2024-08-01,28.565555572509766
2024-09-01,31.722850799560547
2024-10-01,29.193269729614258
2024-11-01,30.4118595123291
2024-12-01,26.537317276000977
2025-01-01,28.865814208984375
2025-02-01,28.375600814819336
2025-03-01,27.795734405517578
2025-04-01,24.596567153930664
2025-05-01,24.796539306640625
2025-06-01,24.58599281311035
2025-07-01,23.973495483398438
2025-08-01,24.960247039794922
2025-09-01,23.918228149414062
2025-10-01,22.191173553466797
2025-11-01,21.633039474487305
2025-12-01,23.074596405029297
2026-01-01,25.110301971435547
2026-02-01,23.89277458190918
2026-03-01,24.00152015686035
2026-04-01,24.089941024780273
2026-05-01,24.080116271972656
2026-06-01,23.721797943115234
2026-07-01,24.801862716674805
2026-08-01,23.156993865966797
2026-09-01,20.139999389648438
